sample;point;age;uncertainty (1s);conc (90 til 110);disc (-10 til 10)
163706;163706-73;2805;23.2;103.2;3.2
163706;163706-82;2703;27.1;99.2;-0.8
163706;163706-74;2667;31.1;100.2;0.2
163706;163706-66;2666;27.1;101.4;1.4
163706;163706-59;2598;30.3;97.3;-2.7
163706;163706-76;2548;51.6;95.4;-4.6
163706;163706-97;2449;32.1;99.8;-0.2
163706;163706-35;2068;37.1;98.2;-1.8
163706;163706-93;1967;38;102.3;2.3
163706;163706-57;1909;26.8;99.7;-0.3
163706;163706-99;1826;35.3;105;5
163706;163706-3;1795;35.2;103.1;3.1
163706;163706-81;1776;27.4;100.4;0.4
163706;163706-30;1753;30.1;103.6;3.6
163706;163706-1;1747;23.5;102.3;2.3
163706;163706-19;1735;31;102.6;2.6
163706;163706-26;1709;38.5;100.8;0.8
163706;163706-37;1695;36.3;100.6;0.6
163706;163706-56;1678;48.1;106.6;6.6
163706;163706-68;1674;41.1;105.6;5.6
163706;163706-32;1664;38.1;98.4;-1.6
163706;163706-18;1663;61.2;106.5;6.5
163706;163706-23;1644;26.4;101.2;1.2
163706;163706-85;1638;36.6;100.1;0.1
163706;163706-53;1624;26.7;98.8;-1.2
163706;163706-48;1614;33.9;92.1;-7.9
163706;163706-77;1608;25.3;102.7;2.7
163706;163706-46;1604;32.4;98.5;-1.5
163706;163706-45;1593;42.7;99.1;-0.9
163706;163706-100;1571;53.6;104.7;4.7
163706;163706-12;1565;38.7;105;5
163706;163706-72;1524;45.6;95.8;-4.2
163706;163706-41;1499;36.7;101;1
163706;163706-47;1493;50.7;100.6;0.6
163706;163706-58;1491;27.5;99.5;-0.5
163706;163706-36;1486;30.5;101.8;1.8
163706;163706-88;1477;43.4;97.4;-2.6
163706;163706-17;1473;43.7;95.3;-4.7
163706;163706-70;1462;31.9;102.6;2.6
163706;163706-11;1421;42;98.8;-1.2
163706;163706-43;1418;35.4;102.1;2.1
163706;163706-5;1383;42.2;99;-1
163706;163706-8;1370;45.8;103.8;3.8
163706;163706-27;1344;66.8;102.1;2.1
163706;163706-39;1342;38.3;100.9;0.9
163706;163706-79;1320;27.6;100.4;0.4
163706;163706-14;1319;37.7;103.5;3.5
163706;163706-64;1294;37.9;102.4;2.4
163706;163706-71;1288;40.5;100.6;0.6
163706;163706-98;1268;51.8;97.4;-2.6
163706;163706-9;1255;52.7;103.1;3.1
163706;163706-7;1231;33.2;100.9;0.9
163706;163706-55;1222;32.7;102.9;2.9
163706;163706-22;1198;21.8;99.1;-0.9
163706;163706-102;1172;45.9;106.5;6.5
163706;163706-63;1160;31;101.4;1.4
163706;163706-61;1160;32.7;97.5;-2.5
163706;163706-60;1139;40.5;103.1;3.1
163706;163706-94;1137;37.4;102.7;2.7
163706;163706-31;1120;38.3;101.3;1.3
163706;163706-42;1113;43.9;101.5;1.5
163706;163706-101;1107;39.4;104.4;4.4
163706;163706-75;1107;29.1;96.7;-3.3
163706;163706-16;1097;41.1;106.2;6.2
163706;163706-105;1091;34.1;105.2;5.2
163706;163706-78;1085;37.5;98;-2
163706;163706-83;1082;37.3;98.8;-1.2
163706;163706-92;1081;44.6;104.4;4.4
163706;163706-106;1079;43.5;106.2;6.2
163706;163706-10;1077;40;98.7;-1.3
163706;163706-20;1072;70.3;107.5;7.5
163706;163706-87;1058;31.5;102.3;2.3
163706;163706-91;1058;57.8;102.1;2.1
163706;163706-6;1052;41.9;101.6;1.6
163706;163706-84;1040;31.6;102.9;2.9
